gameid,title,platform,developers,publishers,genres,supported_languages,release_date
698832,Vikings Pinball,PS5,['NOSTRA GAMES'],['NOSTRA GAMES'],['Pinball'],,2024-08-17
698827,Boom Robots,PS5,['Revulo Games'],['Revulo Games'],['Fighting'],,2024-08-09
698797,Vikings Pinball,PS4,['NOSTRA GAMES'],['NOSTRA GAMES'],['Pinball'],,2024-08-17
698777,Herc's Adventures,PS4,['Big Ape Productions'],['Disney Interactive Studios'],['Adventure'],"['Japanese', 'French', 'Spanish', 'German', 'Italian', 'Dutch', 'Portuguese', 'Russian', 'Korean', 'Chinese (traditional)', 'Chinese (simplified)', 'Finnish', 'Swedish', 'Danish', 'Norway', 'Polish', 'Portuguese (Brazil)', 'Turkish', 'Spanish (Mexico)', 'Arabic', 'French (Canada)', 'Czech', 'Hungarian', 'Greek', 'Romanian', 'Thai', 'Vietnamese', 'Indonesian']",2023-06-20
698711,Martian Supermarket Sim,PS4,['SimulaMaker'],['SimulaMaker'],['Simulation'],,2024-08-10
698704,Tower Hover,PS5,['Zakym'],['Zakym'],['Action'],,2024-08-17
698702,Tower Hover,PS5,['Zakym'],['Zakym'],['Action'],,2024-08-17
698701,Tower Hover,PS5,['Zakym'],['Zakym'],['Action'],,2024-08-17
698699,Tower Hover,PS4,['Zakym'],['Zakym'],['Action'],,2024-08-17
698698,Tower Hover,PS4,['Zakym'],['Zakym'],['Action'],,2024-08-17
698693,Cyberpunk City Tycoon,PS4,['SimulaMaker'],['SimulaMaker'],"['Simulation', 'Management']",,2024-07-13
698692,Lunar Nightmare,PS5,['Playstige Interactive'],['Playstige Interactive'],['Survival Horror'],,2024-08-16
698689,Lunar Nightmare,PS4,['Playstige Interactive'],['Playstige Interactive'],['Survival Horror'],,2024-08-16
698679,Baby Boomer 2 : 35 Years Too Soon,PS4,"[""Kimulator's Films""]","[""Kimulator's Films""]",['Action'],,2024-08-16
698678,Olympic 2024 Journey,PS4,['Erik Games'],['Erik Games'],['Puzzle'],,2024-08-16
698660,Baby Boomer 2 : 35 Years Too Soon Mega Chad Edition,PS4,"[""Kimulator's Films""]","[""Kimulator's Films""]",['Action'],,2024-08-16
698617,Baby Boomer 2 : 35 Years Too Soon Mega Chad Edition,PS5,"[""Kimulator's Films""]","[""Kimulator's Films""]",['Action'],,2024-08-16
698584,Vikings Pinball,PS5,['NOSTRA GAMES'],['NOSTRA GAMES'],['Pinball'],,2024-08-17
470528,Lizard Lady vs the Cats Platinum Edition,PS4,['The Voices Games'],['The Voices Games'],['Third Person Shooter'],,2022-07-06
698535,Roman Empire Farming,PS4,['CHETRUSCA SOFTWORKS'],['IndieGames3000'],"['Simulation', 'Management']",,2024-07-13
698533,Extreme Skyway Racer Simulator,PS4,['CHETRUSCA SOFTWORKS'],['IndieGames3000'],['Simulation'],,2024-02-17
698525,Space Explore VR,PS5,['Yash Future Tech Solutions'],['Yash Future Tech Solutions'],['Simulation'],"['Japanese', 'French', 'Spanish', 'German', 'Italian', 'Dutch', 'Portuguese', 'Russian', 'Korean', 'Chinese (traditional)']",2024-08-18
